date,open,high,low,close,adj close,volume,20_sma,50_sma,200_sma,macd_12_26,macdsign_12_26,macddiff_12_26,stocastic_kdjd_5,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name
2016-10-03,112.71,113.05,112.28,112.52,110.57,21701800,111.303,108.447,102.015,1.601,1.786,-0.186,44.166,40.613,56.133,22.313,111.303,118.49,104.116,1.881,AAPL
2016-10-04,113.06,114.31,112.63,113.0,111.041,29736800,111.568,108.76,102.035,1.521,1.733,-0.212,42.583,43.012,57.583,20.806,111.568,118.584,104.552,1.875,AAPL
2016-10-05,113.4,113.66,112.69,113.05,111.09,21453100,111.802,109.087,102.07,1.445,1.676,-0.231,42.682,41.318,57.739,19.733,111.802,118.68,104.925,1.81,AAPL
2016-10-06,113.7,114.34,113.13,113.89,111.916,28779300,112.221,109.306,102.103,1.436,1.628,-0.192,47.125,52.107,60.386,19.32,112.221,118.479,105.963,1.773,AAPL
2016-10-07,114.31,114.56,113.51,114.06,112.083,24358400,112.767,109.501,102.137,1.426,1.588,-0.161,52.539,59.159,60.919,19.444,112.767,117.374,108.161,1.721,AAPL
2016-10-10,115.02,116.75,114.72,116.05,114.038,36236000,113.298,109.737,102.174,1.561,1.582,-0.021,58.33,66.327,66.59,20.714,113.298,116.615,109.981,1.791,AAPL
2016-10-11,117.7,118.69,116.2,116.3,114.284,64041000,113.715,109.942,102.215,1.669,1.6,0.069,61.109,62.172,67.233,23.077,113.715,116.194,111.237,1.851,AAPL
2016-10-12,117.35,117.98,116.75,117.34,115.306,37586800,113.994,110.2,102.268,1.818,1.643,0.174,63.967,63.446,69.835,26.038,113.994,116.784,111.204,1.839,AAPL
2016-10-13,116.79,117.44,115.72,116.98,114.952,35192400,114.065,110.423,102.309,1.884,1.691,0.193,65.573,56.439,67.828,28.384,114.065,117.084,111.045,1.83,AAPL
2016-10-14,117.88,118.17,117.13,117.63,115.591,35652200,114.2,110.659,102.361,1.967,1.747,0.221,67.145,63.612,69.531,30.496,114.2,117.601,110.799,1.785,AAPL
2016-10-17,117.33,117.84,116.78,117.55,115.512,23624900,114.399,110.86,102.422,2.003,1.798,0.205,67.23,67.306,69.046,32.089,114.399,118.097,110.7,1.733,AAPL
2016-10-18,118.18,118.21,117.45,117.47,115.434,24553500,114.594,111.042,102.483,2.002,1.839,0.163,67.606,60.955,68.532,33.444,114.594,118.513,110.674,1.663,AAPL
2016-10-19,117.25,117.76,113.8,117.12,115.09,20034600,114.772,111.208,102.555,1.951,1.861,0.09,68.627,65.731,66.209,33.751,114.772,118.814,110.73,1.828,AAPL
2016-10-20,116.86,117.38,116.33,117.06,115.031,24125800,114.894,111.389,102.637,1.883,1.866,0.018,69.669,68.462,65.797,33.393,114.894,119.062,110.726,1.772,AAPL
2016-10-21,116.81,116.91,116.28,116.6,114.579,23192700,115.088,111.563,102.737,1.772,1.847,-0.075,69.445,69.21,62.582,32.654,115.088,119.19,110.987,1.701,AAPL
2016-10-24,117.1,117.74,117.0,117.65,115.611,23538700,115.327,111.752,102.841,1.749,1.827,-0.078,71.33,77.419,66.594,31.157,115.327,119.443,111.211,1.661,AAPL
2016-10-25,117.95,118.36,117.31,118.25,116.2,48129000,115.585,111.928,102.939,1.759,1.814,-0.055,75.085,83.183,68.662,29.347,115.585,119.757,111.413,1.617,AAPL
2016-10-26,114.31,115.7,113.31,115.59,113.586,66134200,115.667,112.052,103.018,1.534,1.758,-0.224,73.428,70.505,53.0,28.553,115.667,119.767,111.567,1.855,AAPL
2016-10-27,115.39,115.86,114.1,114.48,112.496,34562000,115.782,112.157,103.103,1.252,1.656,-0.405,67.107,54.726,48.073,28.327,115.782,119.589,111.975,1.848,AAPL
2016-10-28,113.87,115.21,113.45,113.72,111.749,37861700,115.816,112.25,103.174,0.956,1.516,-0.56,57.743,41.844,44.988,28.652,115.816,119.532,112.099,1.842,AAPL
2016-10-31,113.65,114.23,113.2,113.54,111.572,26419400,115.867,112.333,103.256,0.699,1.353,-0.654,47.898,32.156,44.264,29.386,115.867,119.417,112.316,1.784,AAPL
2016-11-01,113.46,113.77,110.53,111.49,109.557,43825800,115.791,112.393,103.33,0.326,1.148,-0.822,40.202,28.275,36.965,30.962,115.791,119.649,111.933,1.888,AAPL
2016-11-02,111.4,112.35,111.23,111.59,109.656,28331700,115.718,112.448,103.404,0.038,0.926,-0.888,34.524,28.4,37.506,33.008,115.718,119.841,111.595,1.833,AAPL
2016-11-03,110.98,111.46,109.55,109.83,108.48,26932600,115.515,112.484,103.472,-0.328,0.675,-1.003,28.714,21.145,32.255,35.561,115.515,120.354,110.676,1.848,AAPL
2016-11-04,108.53,110.25,108.11,108.84,107.503,30837000,115.254,112.509,103.509,-0.691,0.402,-1.092,24.267,19.835,29.734,38.526,115.254,120.917,109.591,1.869,AAPL
2016-11-07,110.08,110.51,109.46,110.41,109.053,32560000,114.972,112.579,103.564,-0.841,0.153,-0.994,24.109,36.109,38.01,41.434,114.972,121.017,108.927,1.854,AAPL
2016-11-08,110.31,111.72,109.7,111.06,109.695,24054500,114.71,112.663,103.619,-0.898,-0.057,-0.841,29.091,51.312,41.103,43.283,114.71,120.963,108.457,1.866,AAPL
2016-11-09,109.88,111.32,108.05,110.88,109.517,59176400,114.387,112.761,103.706,-0.947,-0.235,-0.712,36.641,59.912,40.501,44.804,114.387,120.735,108.039,1.966,AAPL
2016-11-10,111.09,111.09,105.83,107.79,106.465,57134500,113.927,112.795,103.775,-1.22,-0.432,-0.788,39.622,51.033,31.864,46.45,113.927,120.794,107.061,2.202,AAPL
2016-11-11,107.12,108.87,106.55,108.43,107.098,34094100,113.467,112.829,103.83,-1.37,-0.62,-0.75,41.45,49.809,34.957,48.116,113.467,120.52,106.415,2.21,AAPL
2016-11-14,107.71,107.81,104.08,105.71,104.411,51175500,112.875,112.788,103.877,-1.688,-0.833,-0.855,40.027,40.957,28.943,50.061,112.875,120.453,105.298,2.363,AAPL
2016-11-15,106.57,107.68,106.16,107.11,105.794,32264500,112.357,112.777,103.94,-1.807,-1.028,-0.779,39.597,48.39,35.13,52.11,112.357,120.028,104.687,2.335,AAPL
2016-11-16,106.7,110.23,106.6,109.99,108.638,58840500,112.001,112.809,104.008,-1.649,-1.152,-0.497,44.374,64.292,45.619,52.542,112.001,119.398,104.604,2.427,AAPL
2016-11-17,109.81,110.35,108.83,109.95,108.599,27632000,111.645,112.898,104.075,-1.511,-1.224,-0.287,51.969,73.013,45.509,51.884,111.645,118.694,104.597,2.363,AAPL
2016-11-18,109.72,110.54,109.66,110.06,108.708,28428900,111.318,113.036,104.155,-1.376,-1.254,-0.121,59.856,77.948,45.896,50.456,111.318,117.996,104.641,2.257,AAPL
2016-11-21,110.12,111.99,110.01,111.73,110.357,29264600,111.022,113.162,104.239,-1.121,-1.228,0.107,67.326,82.556,51.52,47.808,111.022,117.007,105.038,2.237,AAPL
2016-11-22,111.95,112.42,111.4,111.8,110.426,25965500,110.7,113.239,104.323,-0.903,-1.163,0.259,73.093,80.883,51.746,44.608,110.7,115.651,105.749,2.15,AAPL
2016-11-23,111.36,111.51,110.33,111.23,109.863,27426400,110.482,113.228,104.408,-0.768,-1.084,0.316,74.962,70.796,49.71,41.384,110.482,114.879,106.085,2.101,AAPL
2016-11-25,111.13,111.87,110.95,111.79,110.416,11475900,110.347,113.153,104.498,-0.608,-0.989,0.38,76.039,70.483,51.72,38.053,110.347,114.379,106.316,2.017,AAPL
2016-11-28,111.43,112.47,111.39,111.57,110.199,27194000,110.24,113.086,104.586,-0.494,-0.89,0.396,75.115,66.303,50.86,34.792,110.24,113.998,106.482,1.95,AAPL
2016-11-29,110.78,112.03,110.07,111.46,110.09,28528800,110.136,113.043,104.66,-0.407,-0.793,0.386,72.793,63.508,50.409,32.038,110.136,113.615,106.657,1.951,AAPL
2016-11-30,111.6,112.2,110.27,110.52,109.162,36162300,110.087,112.982,104.722,-0.41,-0.717,0.307,65.757,48.588,46.603,29.589,110.087,113.513,106.662,1.949,AAPL
2016-12-01,110.37,110.94,109.03,109.49,108.145,37086900,109.982,112.901,104.788,-0.49,-0.671,0.182,56.809,37.229,42.791,28.006,109.982,113.342,106.623,1.947,AAPL
2016-12-02,109.17,110.09,108.85,109.9,108.55,26528000,109.986,112.807,104.858,-0.514,-0.64,0.126,49.743,35.267,44.729,27.099,109.986,113.345,106.627,1.896,AAPL
2016-12-05,110.0,110.03,108.25,109.11,107.769,34324500,110.0,112.735,104.919,-0.59,-0.63,0.04,43.494,34.168,41.792,26.906,110.0,113.342,106.657,1.888,AAPL
2016-12-06,109.5,110.36,109.19,109.95,108.599,26195500,109.976,112.676,104.995,-0.575,-0.619,0.043,40.667,49.635,45.863,26.861,109.976,113.313,106.64,1.842,AAPL
2016-12-07,109.26,111.19,109.16,111.03,109.666,29998700,109.975,112.635,105.07,-0.472,-0.589,0.118,45.398,64.609,50.643,26.207,109.975,113.31,106.64,1.856,AAPL
2016-12-08,110.86,112.43,110.6,112.12,110.742,27068300,110.037,112.598,105.146,-0.298,-0.531,0.233,52.743,73.246,54.965,25.342,110.037,113.487,106.587,1.854,AAPL
2016-12-09,112.31,114.7,112.31,113.95,112.55,34402600,110.345,112.634,105.232,-0.012,-0.427,0.415,59.967,77.651,61.121,25.322,110.345,114.041,106.649,1.906,AAPL
2016-12-12,113.29,115.0,112.49,113.3,111.908,26374400,110.588,112.639,105.315,0.159,-0.31,0.469,64.391,72.222,58.084,25.926,110.588,114.393,106.784,1.949,AAPL
2016-12-13,113.84,115.92,113.75,115.19,113.774,43733800,111.063,112.692,105.388,0.443,-0.159,0.603,69.114,74.741,63.727,27.178,111.063,114.665,107.46,1.997,AAPL
2016-12-14,115.04,116.2,114.98,115.19,113.774,34031800,111.467,112.736,105.46,0.66,0.005,0.656,72.641,74.086,63.727,28.87,111.467,115.015,107.918,1.941,AAPL
2016-12-15,115.38,116.73,115.23,115.82,114.397,46524500,111.758,112.791,105.532,0.873,0.178,0.695,74.961,72.545,65.522,30.93,111.758,115.728,107.788,1.913,AAPL
2016-12-16,116.47,116.5,115.65,115.97,114.545,44351100,112.059,112.833,105.597,1.042,0.351,0.691,76.782,67.22,65.954,33.147,112.059,116.352,107.766,1.837,AAPL
2016-12-19,115.8,117.38,115.75,116.64,115.207,27779400,112.388,112.885,105.67,1.216,0.524,0.692,77.907,66.674,67.889,35.64,112.388,117.03,107.746,1.822,AAPL
2016-12-20,116.74,117.5,116.68,116.95,115.513,21425000,112.649,112.903,105.75,1.363,0.692,0.671,78.436,67.873,68.773,38.248,112.649,117.704,107.594,1.753,AAPL
2016-12-21,116.8,117.4,116.78,117.06,115.622,23783200,112.912,112.918,105.83,1.471,0.848,0.624,78.914,70.201,69.098,40.835,112.912,118.316,107.508,1.672,AAPL
2016-12-22,116.35,116.51,115.64,116.29,114.861,26085900,113.165,112.897,105.905,1.478,0.974,0.504,74.241,58.449,64.069,41.876,113.165,118.71,107.62,1.654,AAPL
2016-12-23,115.59,116.52,115.59,116.52,115.088,14181200,113.401,112.888,105.977,1.485,1.076,0.409,69.325,56.093,64.891,41.858,113.401,119.1,107.703,1.603,AAPL
2016-12-27,116.52,117.8,116.49,117.26,115.819,18296900,113.686,112.88,106.05,1.532,1.167,0.365,67.834,62.584,67.469,41.908,113.686,119.565,107.807,1.582,AAPL
2016-12-28,117.52,118.02,116.2,116.76,115.325,20905900,113.951,112.864,106.111,1.512,1.236,0.276,64.983,57.772,64.046,41.665,113.951,119.885,108.017,1.599,AAPL
2016-12-29,116.45,117.11,116.4,116.73,115.296,15039500,114.262,112.85,106.165,1.477,1.284,0.192,61.709,48.222,63.837,41.249,114.262,120.089,108.434,1.535,AAPL
2016-12-30,116.65,117.2,115.43,115.82,114.397,30586300,114.578,112.824,106.215,1.36,1.299,0.06,55.07,37.167,57.68,39.664,114.578,119.987,109.169,1.552,AAPL
2017-01-03,115.8,116.33,114.76,116.15,114.723,28781900,114.891,112.805,106.266,1.279,1.295,-0.017,50.738,43.767,59.216,37.672,114.891,119.866,109.915,1.553,AAPL
2017-01-04,115.85,116.51,115.75,116.02,114.594,21118100,115.236,112.794,106.317,1.19,1.274,-0.084,47.47,46.391,58.318,35.317,115.236,119.418,111.054,1.497,AAPL
2017-01-05,115.92,116.86,115.81,116.61,115.177,22193600,115.569,112.773,106.366,1.155,1.25,-0.096,49.167,60.293,61.195,32.696,115.569,118.965,112.173,1.465,AAPL
2017-01-06,116.78,118.16,116.47,117.91,116.461,31751900,115.913,112.766,106.425,1.217,1.244,-0.027,54.753,70.071,66.655,30.977,115.913,118.715,113.111,1.481,AAPL
2017-01-09,117.95,119.43,117.94,118.99,117.528,33561900,116.257,112.834,106.492,1.338,1.263,0.076,61.216,75.995,70.383,30.481,116.257,118.771,113.742,1.484,AAPL
2017-01-10,118.77,119.38,118.3,119.11,117.646,24462100,116.515,112.927,106.561,1.428,1.296,0.132,67.431,80.393,70.774,30.767,116.515,119.09,113.939,1.455,AAPL
2017-01-11,118.74,119.93,118.6,119.75,118.278,27588600,116.837,113.047,106.622,1.532,1.343,0.189,73.327,83.914,72.834,31.762,116.837,119.332,114.342,1.446,AAPL
2017-01-12,118.9,119.3,118.21,119.25,117.785,27086200,117.04,113.162,106.67,1.557,1.386,0.171,76.728,76.098,68.757,32.667,117.04,119.63,114.45,1.453,AAPL
2017-01-13,119.11,119.62,118.81,119.04,117.577,26111900,117.233,113.313,106.72,1.542,1.417,0.125,75.855,66.817,67.059,33.653,117.233,119.816,114.649,1.407,AAPL
2017-01-17,118.34,120.24,118.22,120.0,118.525,34439800,117.442,113.481,106.77,1.589,1.452,0.138,76.837,73.937,70.63,34.953,117.442,120.213,114.67,1.45,AAPL
