date,open,high,low,close,adj close,volume,9 sma,20 sma,50 sma,macd_12_26,macdsign_12_26,macddiff_12_26,stocastic_kdjd_5,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name,SKDT,SKDB,SOBZE,SOBZX,SOSZE,SOSZX
2017-03-27,139.39,141.22,138.62,140.88,139.752,23575100,140.7,139.785,132.938,2.13,2.532,-0.402,53.108999999999995,55.425,65.767,50.788999999999994,139.785,141.937,137.632,1.4980000000000002,AAPL,False,True,False,False,False,False
2017-03-28,140.91,144.04,140.62,143.8,142.649,33374800,141.071,140.125,133.433,2.256,2.477,-0.22,56.63,68.807,73.878,49.193000000000005,140.125,142.553,137.697,1.635,AAPL,False,False,False,False,False,False
2017-03-29,143.68,144.49,143.19,144.12,142.966,29190000,141.452,140.342,133.915,2.356,2.4530000000000003,-0.09699999999999999,62.313,77.104,74.589,47.901,140.342,143.347,137.336,1.611,AAPL,False,False,False,False,False,False
2017-03-30,144.19,144.5,143.5,143.93,142.778,21207300,141.89,140.59,134.394,2.391,2.44,-0.049,67.949,79.839,73.314,46.85,140.59,143.91899999999998,137.261,1.567,AAPL,False,False,False,False,False,False
2017-03-31,143.72,144.27,143.01,143.66,142.51,19661700,142.134,140.784,134.872,2.37,2.426,-0.055999999999999994,72.428,67.767,71.444,45.52,140.784,144.358,137.21,1.546,AAPL,True,False,False,False,False,False
2017-04-03,143.71,144.12,143.05,143.7,142.55,19985700,142.563,141.002,135.346,2.33,2.407,-0.077,75.191,60.615,71.56,44.062,141.002,144.733,137.27100000000002,1.5119999999999998,AAPL,False,False,False,False,False,False
2017-04-04,143.25,144.89,143.17,144.77,143.611,19891400,142.936,141.265,135.839,2.358,2.397,-0.04,78.467,71.615,74.532,42.995,141.265,145.284,137.245,1.526,AAPL,False,False,False,False,False,False
2017-04-05,144.22,145.46,143.81,144.02,142.86700000000002,27717900,143.28,141.516,136.32,2.292,2.376,-0.084,75.78399999999999,61.16,69.082,42.473,141.516,145.567,137.464,1.535,AAPL,False,False,False,False,False,False
2017-04-06,144.29,144.52,143.45,143.66,142.51,21149000,143.616,141.765,136.756,2.186,2.338,-0.152,69.12,47.906000000000006,66.566,41.881,141.765,145.692,137.83700000000002,1.5019999999999998,AAPL,False,False,False,False,False,False
2017-04-07,143.73,144.18,143.27,143.34,142.192,16672200,143.889,141.975,137.184,2.053,2.281,-0.228,59.815,33.003,64.32300000000001,41.051,141.975,145.75799999999998,138.191,1.46,AAPL,False,False,False,False,False,False
2017-04-10,143.6,143.88,142.9,143.17,142.024,18933400,143.819,142.173,137.608,1.911,2.207,-0.29600000000000004,50.205,27.557,63.107,39.657,142.173,145.755,138.591,1.425,AAPL,False,False,False,False,False,False
2017-04-11,142.94,143.35,140.06,141.63,140.496,30379400,143.542,142.305,138.00799999999998,1.656,2.097,-0.441,43.586000000000006,31.074,53.278,38.694,142.305,145.57399999999998,139.036,1.5590000000000002,AAPL,False,False,False,False,False,False
2017-04-12,141.6,142.15,141.01,141.8,140.665,20350000,143.306,142.372,138.417,1.45,1.9680000000000002,-0.517,40.135999999999996,35.899,54.126999999999995,38.036,142.372,145.535,139.209,1.5290000000000001,AAPL,False,False,False,False,False,False
2017-04-13,141.91,142.38,141.05,141.05,139.921,17822900,143.016,142.39,138.66299999999998,1.213,1.817,-0.604,36.813,33.963,49.824,37.36,142.39,145.516,139.264,1.515,AAPL,False,False,False,False,False,False
2017-04-17,141.48,141.88,140.87,141.83,140.694,16582100,142.808,142.482,138.929,1.075,1.6680000000000001,-0.593,36.394,43.833999999999996,53.926,36.798,142.482,145.41299999999998,139.55100000000002,1.479,AAPL,False,True,False,False,False,False
2017-04-18,141.41,142.04,141.11,141.2,140.07,14697500,142.411,142.469,139.172,0.905,1.516,-0.611,36.015,36.508,50.346000000000004,36.135999999999996,142.469,145.421,139.517,1.439,AAPL,False,False,False,False,False,False
2017-04-19,141.88,142.0,140.45,140.68,139.554,17328400,142.04,142.511,139.38,0.72,1.357,-0.637,33.168,29.16,47.54,35.848,142.511,145.326,139.696,1.4469999999999998,AAPL,True,False,False,False,False,False
2017-04-20,141.22,142.92,141.16,142.44,141.3,23319600,141.904,142.562,139.59799999999998,0.7070000000000001,1.227,-0.52,37.17,46.29600000000001,56.397,34.778,142.562,145.33100000000002,139.793,1.504,AAPL,False,True,False,False,False,False
2017-04-21,142.44,142.68,141.85,142.27,141.131,17320900,141.786,142.63,139.80200000000002,0.675,1.1159999999999999,-0.441,43.005,55.425,55.424,33.258,142.63,145.29399999999998,139.965,1.456,AAPL,False,False,False,False,False,False
2017-04-24,143.5,143.95,143.18,143.64,142.49,17134300,141.838,142.78,140.02700000000002,0.752,1.044,-0.292,50.946999999999996,66.58,61.231,31.816,142.78,145.306,140.253,1.472,AAPL,False,False,False,False,False,False
2017-04-25,143.91,144.9,143.87,144.53,143.373,18871500,142.16,142.96200000000002,140.275,0.875,1.01,-0.135,59.004,73.676,64.47,31.026,142.96200000000002,145.438,140.486,1.4569999999999999,AAPL,False,False,False,False,False,False
2017-04-26,144.47,144.6,143.38,143.68,142.53,20041200,142.369,142.95600000000002,140.483,0.893,0.986,-0.094,63.515,58.806999999999995,59.369,30.177,142.95600000000002,145.424,140.488,1.44,AAPL,True,False,False,False,False,False
2017-04-27,143.92,144.16,143.31,143.79,142.639,14246300,142.673,142.939,140.658,0.9059999999999999,0.97,-0.065,65.53,49.268,59.812,29.252,142.939,145.379,140.5,1.3980000000000001,AAPL,False,False,False,False,False,False
2017-04-28,144.09,144.3,143.27,143.65,142.5,20860400,142.876,142.925,140.821,0.894,0.955,-0.061,62.181000000000004,42.369,58.931000000000004,28.416999999999998,142.925,145.344,140.507,1.371,AAPL,False,False,False,False,False,False
2017-05-01,145.1,147.2,144.96,146.58,145.406,33602900,143.47299999999998,143.071,141.046,1.109,0.986,0.12300000000000001,63.141999999999996,56.32,69.166,28.971999999999998,143.071,145.98,140.16299999999998,1.527,AAPL,False,False,False,False,False,False
2017-05-02,147.54,148.09,146.84,147.51,146.329,45352200,144.232,143.262,141.281,1.339,1.056,0.282,66.327,66.869,71.587,30.587,143.262,146.779,139.745,1.526,AAPL,False,True,False,False,False,False
2017-05-03,145.59,147.49,144.27,147.06,145.88299999999998,45697000,144.746,143.376,141.489,1.4669999999999999,1.139,0.32899999999999996,69.11,68.925,68.774,30.916999999999998,143.376,147.233,139.52,1.6480000000000001,AAPL,True,False,False,False,False,False
2017-05-04,146.52,147.14,145.81,146.53,145.357,23371900,145.219,143.502,141.67700000000002,1.5090000000000001,1.213,0.297,70.183,65.671,65.508,30.433000000000003,143.502,147.602,139.40200000000002,1.625,AAPL,False,False,False,False,False,False
2017-05-05,146.76,148.98,146.76,148.96,147.767,27327700,145.81,143.767,141.92600000000002,1.719,1.314,0.405,73.925,76.972,72.059,30.198,143.767,148.54,138.994,1.6840000000000002,AAPL,False,True,False,False,False,False
2017-05-08,149.03,153.7,149.03,153.01,151.785,48752400,146.752,144.25,142.253,2.186,1.4880000000000002,0.698,77.673,81.733,79.16199999999999,31.116999999999997,144.25,150.555,137.946,1.903,AAPL,False,False,True,False,False,False
2017-05-09,153.87,154.88,153.45,153.99,152.757,39130400,147.898,144.791,142.594,2.6060000000000003,1.712,0.894,80.887,84.169,80.456,32.876,144.791,152.423,137.16,1.9,AAPL,False,False,False,False,False,False
2017-05-10,153.63,153.94,152.11,153.26,152.033,25805700,148.95,145.373,142.91899999999998,2.847,1.939,0.9079999999999999,82.455,80.215,76.637,34.384,145.373,153.72799999999998,137.018,1.899,AAPL,True,False,False,False,False,False
2017-05-11,152.45,154.07,152.31,153.95,153.34799999999998,27255100,150.094,145.98,143.202,3.0580000000000003,2.1630000000000003,0.895,83.829,75.619,77.714,35.705999999999996,145.98,154.983,136.97799999999998,1.889,AAPL,False,False,False,True,False,False
2017-05-12,154.7,156.42,154.67,156.1,155.489,32527000,151.15200000000002,146.733,143.545,3.36,2.4019999999999997,0.958,85.755,81.271,80.699,37.296,146.733,156.485,136.981,1.93,AAPL,False,False,True,False,False,False
2017-05-15,156.01,156.65,155.05,155.7,155.091,26009700,152.062,147.42600000000002,143.864,3.5269999999999997,2.627,0.9,85.869,80.217,78.59,39.033,147.42600000000002,157.671,137.18200000000002,1.9069999999999998,AAPL,False,False,False,False,False,False
2017-05-16,155.94,156.06,154.72,155.47,154.862,20048500,152.997,148.14,144.186,3.5989999999999998,2.822,0.777,84.602,66.946,77.33800000000001,40.583,148.14,158.545,137.735,1.8659999999999999,AAPL,False,False,False,True,False,False
2017-05-17,153.6,154.57,149.71,150.25,149.662,50767700,153.41,148.618,144.401,3.198,2.897,0.301,75.503,47.225,55.667,40.427,148.618,158.44299999999998,138.79399999999998,2.144,AAPL,False,False,False,False,False,False
2017-05-18,151.27,153.34,151.13,152.54,151.94299999999998,33568200,153.808,149.123,144.672,3.03,2.923,0.106,67.601,46.339,60.85,39.211999999999996,149.123,158.645,139.602,2.2119999999999997,AAPL,False,False,False,False,False,False
2017-05-19,153.38,153.98,152.63,153.06,152.461,26960800,153.813,149.66299999999998,144.959,2.905,2.92,-0.015,61.941,53.869,61.938,37.128,149.66299999999998,158.762,140.564,2.157,AAPL,False,False,False,False,False,False
2017-05-22,154.0,154.58,152.91,153.99,153.388,22966400,153.813,150.18,145.256,2.8489999999999998,2.906,-0.057,60.032,63.54600000000001,63.872,34.659,150.18,159.011,141.35,2.122,AAPL,False,True,False,False,False,False
2017-05-23,154.9,154.9,153.31,153.8,153.19799999999998,19918900,153.873,150.644,145.548,2.7569999999999997,2.8760000000000003,-0.11900000000000001,61.27,59.544,63.166000000000004,32.17,150.644,159.194,142.094,2.084,AAPL,True,False,False,False,False,False
2017-05-24,153.84,154.17,152.67,153.34,152.74,19178000,153.806,151.127,145.835,2.617,2.824,-0.207,61.525,49.711000000000006,61.396,29.488000000000003,151.127,159.092,143.162,2.042,AAPL,False,False,False,False,False,False
2017-05-25,153.73,154.35,153.03,153.87,153.268,19235600,153.558,151.631,146.10299999999998,2.519,2.763,-0.244,60.872,51.078,62.693000000000005,26.828000000000003,151.631,158.886,144.376,1.9909999999999999,AAPL,False,False,False,False,False,False
2017-05-26,154.0,154.24,153.31,153.61,153.009,21701100,153.326,152.129,146.362,2.3930000000000002,2.6889999999999996,-0.29600000000000004,58.501999999999995,52.703,61.6,24.276999999999997,152.129,158.374,145.884,1.915,AAPL,False,False,False,False,False,False
2017-05-30,153.42,154.43,153.33,153.67,153.069,20126900,153.126,152.483,146.635,2.272,2.6060000000000003,-0.33299999999999996,55.931000000000004,50.373000000000005,61.765,22.006999999999998,152.483,158.183,146.784,1.857,AAPL,False,False,False,False,False,False
2017-05-31,153.97,154.17,152.38,152.76,152.162,24451200,153.404,152.746,146.861,2.079,2.5,-0.42100000000000004,50.633,39.760999999999996,57.698,20.241,152.746,157.94299999999998,147.549,1.8519999999999999,AAPL,False,False,False,False,False,False
2017-06-01,153.17,153.33,152.22,153.18,152.58100000000002,16404100,153.476,153.05200000000002,147.128,1.9380000000000002,2.388,-0.45,47.479,40.986999999999995,59.038999999999994,18.951,153.05200000000002,157.507,148.597,1.7990000000000002,AAPL,False,False,False,False,False,False
2017-06-02,153.58,155.45,152.89,155.45,154.842,27770700,153.741,153.498,147.409,1.986,2.307,-0.322,51.913000000000004,60.658,65.418,18.267,153.498,156.85399999999998,150.142,1.8530000000000002,AAPL,False,True,False,False,False,False
2017-06-05,154.34,154.45,153.46,153.93,153.328,25331700,153.734,153.746,147.66899999999998,1.879,2.222,-0.342,53.998000000000005,58.086000000000006,58.813,17.985,153.746,156.336,151.157,1.8630000000000002,AAPL,False,False,False,False,False,False
2017-06-06,153.9,155.81,153.78,154.45,153.846,26624900,153.80700000000002,153.81799999999998,147.945,1.8159999999999998,2.141,-0.324,55.827,56.532,60.29,18.567999999999998,153.81799999999998,156.40200000000002,151.235,1.875,AAPL,False,False,False,False,False,False
